,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
403,64,0.02215045899993129,47.0,10466.0,160,0.1,950
404,65,0.02235625000048458,47.0,10627.0,160,0.1,950
405,66,0.02257037500021397,47.0,10788.0,160,0.1,950
406,67,0.02278745900002832,47.0,10949.0,160,0.1,950
407,68,0.023000084000159404,47.0,11110.0,160,0.1,950
408,69,0.02321479200054455,47.0,11271.0,160,0.1,950
409,70,0.023431792000337737,47.0,11432.0,160,0.1,950
410,71,0.023642834000384028,47.0,11593.0,160,0.1,950
411,72,0.02385625000079017,47.0,11754.0,160,0.1,950
412,73,0.024065834000793984,47.0,11915.0,160,0.1,950
413,74,0.024279000000205997,47.0,12076.0,160,0.1,950
414,75,0.024489500000527187,47.0,12237.0,160,0.1,950
415,76,0.024708500000087952,47.0,12398.0,160,0.1,950
416,77,0.02492675000030431,47.0,12559.0,160,0.1,950
417,78,0.02513795899994875,47.0,12720.0,160,0.1,950
418,79,0.025347959000100673,47.0,12881.0,160,0.1,950
419,80,0.02556612500029587,47.0,13042.0,160,0.1,950
420,81,0.02578537499994127,47.0,13203.0,160,0.1,950
421,82,0.02600962500036985,47.0,13364.0,160,0.1,950
422,83,0.026236833999973896,47.0,13525.0,160,0.1,950
423,84,0.02646041700063506,47.0,13686.0,160,0.1,950
424,85,0.026674042000195186,47.0,13847.0,160,0.1,950
425,86,0.026896917000158282,47.0,14008.0,160,0.1,950
426,87,0.027120959000058065,47.0,14169.0,160,0.1,950
427,88,0.027341750000232423,47.0,14330.0,160,0.1,950
428,89,0.02759454200077016,47.0,14491.0,160,0.1,950
429,90,0.027881667000656307,47.0,14652.0,160,0.1,950
430,91,0.028106292000302346,47.0,14813.0,160,0.1,950
431,92,0.028329917000519345,47.0,14974.0,160,0.1,950
432,93,0.028544499999952677,47.0,15135.0,160,0.1,950
433,94,0.02875770900027419,47.0,15296.0,160,0.1,950
434,95,0.028971167000236164,47.0,15457.0,160,0.1,950
435,96,0.02918641700034641,47.0,15618.0,160,0.1,950
436,97,0.029398708999906376,47.0,15779.0,160,0.1,950
437,98,0.02961295900058758,47.0,15940.0,160,0.1,950
438,99,0.02982804200019018,47.0,16101.0,160,0.1,950
439,100,0.03003995900053269,47.0,16262.0,160,0.1,950
440,101,0.03218787500009057,47.0,16423.0,160,0.1,950
441,102,0.03241008400073042,47.0,16584.0,160,0.1,950
